Sign Account,Street Number,Street Name,Size (LxW),Location Description (if no address),X Coordinate,Y Coordinate,Sign Type,Sign Technology,Sign Face Direction,Illumination,Sign Owner,Sign Owner Identifier,Context Picture Hyperlink,Ward_ID
44-008,4690,KINGSTON RD,10 x 20,On Kingston Rd. between Military Trail & Morningside Ave.,331093.06,4848432.57,Ground,STATIC,SW,Up,CBS,5592,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8wmts8d20jn&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278220&phx=0&phy=0&phscl=1&encType=1,44
44-009,4646,KINGSTON RD,10 x 20,On Kingston Rd. between Military Trail & Morningside Ave.,330786.49,4848204.07,Ground,STATIC,E,Up,PATTISON,6111B,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8w8y18d1q3g&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278222&phx=0&phy=0&phscl=1&encType=1,44
44-009,4646,KINGSTON RD,10 x 20,On Kingston Rd. between Military Trail & Morningside Ave.,330785.64,4848203.59,Ground,STATIC,W,Up,PATTISON,6111A,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8w99p8d1rfq&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278212&phx=0&phy=0&phscl=1&encType=1,44
44-010,4600,KINGSTON RD,10 x 20,On Kingston Rd. between Military Trail & Morningside Ave.,330300.26,4848091.67,Ground,STATIC,E,Up,PATTISON,2310A,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8w4hg8d18p9&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278499&phx=0&phy=0&phscl=1&encType=1,44
44-010,4600,KINGSTON RD,10 x 20,On Kingston Rd. between Military Trail & Morningside Ave.,330302.67,4848092.52,Ground,STATIC,W,Up,PATTISON,2310B,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8w4d38d17rh&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278211&phx=0&phy=0&phscl=1&encType=1,44
43-001,3731-3745,LAWRENCE AVE E,10 x 20,unknown,327618.13,4846638.5,Roof,STATIC,NW,Up,PATTISON,5120B,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8t60b8cysn8&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28279473&phx=0&phy=0&phscl=1&where1=3731-3745%20Lawrence%20Ave.%20E&encType=1,43
43-001,3731-3745,LAWRENCE AVE E,10 x 20,unknown,327628.13,4846638.5,Roof,STATIC,NE,Up,PATTISON,5120A,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8t61v8cyrpn&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28280410&phx=0&phy=0&phscl=1&where1=3731-3745%20Lawrence%20Ave.%20E&encType=1,43
43-002,3750,LAWRENCE AVE E,10 x 20,unknown,327773.05,4846753.5,Ground,STATIC,W,Up,ASTRAL,660,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8tbrc8cyxgj&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278956&phx=0&phy=0&phscl=1&encType=1,43
43-002,3750,LAWRENCE AVE E,10 x 20,unknown,327773.05,4846753.5,Ground,STATIC,E,Up,ASTRAL,659,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8tbrn8cyx49&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278399&phx=0&phy=0&phscl=1&encType=1,43
43-003,4435-4479,KINGSTON RD,10 x 20,unknown,329935.19,4847456.06,Roof,STATIC,W,Up,CBS,1626,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8v8y88d0y26&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278598&phx=0&phy=0&phscl=1&where1=4435-4479%20Kingston%20Road&encType=1,43
43-003,4435-4479,KINGSTON RD,10 x 20,unknown,329935.19,4847456.06,Roof,STATIC,W,Up,CBS,1627,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8v8wn8d0y44&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278598&phx=0&phy=0&phscl=1&where1=4435-4479%20Kingston%20Road&encType=1,43
43-003,4435-4479,LAWRENCE AVE E,10 x 20,unknown,329935.19,4847456.06,Roof,STATIC,NE,Up,CBS,1625,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8v8y88d0y26&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278311&phx=0&phy=0&phscl=1&where1=4435-4479%20Kingston%20Road&encType=1,43
43-004,4352,KINGSTON RD,12 x 16,unknown,329615.25,4847142.91,Roof,STATIC,NE,Up,ASTRAL,237,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8twqm8d0kxk&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28279093&phx=0&phy=0&phscl=1&encType=1,43
43-004,4352,KINGSTON RD,12 x 16,unknown,32615.25,4847142.91,Roof,STATIC,SE,Up,ASTRAL,238,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8twqm8d0kxk&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278812&phx=0&phy=0&phscl=1&encType=1,43
43-005,4320,KINGSTON RD,10 x 20,unknown,329536.08,4847040.15,Roof,STATIC,SE,Up,CBS,1629,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8tqh48d0jqf&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278599&phx=0&phy=0&phscl=1&encType=1,43
43-005,4320,KINGSTON RD,10 x 20,unknown,329536.08,4847040.15,Roof,STATIC,W,Up,CBS,1628,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8tqh48d0jqf&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278812&phx=0&phy=0&phscl=1&encType=1,43
43-006,4280-4290,KINGSTON RD,10 x 20,unknown,329434.1,4846876.01,Ground,STATIC,W,Up,PATTISON,0061A,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8thsk8d0fxw&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278812&phx=0&phy=0&phscl=1&encType=1,43
43-006,4280-4290,KINGSTON RD,10 x 20,unknown,329434.1,4846876.01,Ground,STATIC,E,Up,PATTISON,0061B,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8th358d0ftz&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278599&phx=0&phy=0&phscl=1&encType=1,43
43-007,4238,KINGSTON RD,10 x 20,On Kingston Road just west of Galloway Road,32993.45,4846653.62,Ground,STATIC,W,Up,ASTRAL,431,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8t6f18d09n3&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278743&phx=0&phy=0&phscl=1&encType=1,43
