Sign Account,Street Number,Street Name,Size (LxW),Location Description (if no address),X Coordinate,Y Coordinate,Sign Type,Sign Technology,Sign Face Direction,Illumination,Sign Owner,Sign Owner Identifier,Context Picture Hyperlink,Ward_ID
27-021,1,BLOOR ST W,31.39 m²,unknown,313910.2,4836443.24,Roof,TRIVISION,E,Up,TITAN,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8bmfp8cj6gz&style=b&lvl=1&tilt=-90&dir=0&alt=-1000&scene=28298485&phx=0&phy=0&phscl=1&encType=1,27
27-022,133,BLOOR ST E,50 x 20,Convenience address of 650 Church Street,314194.89,4836526.2,Wall,STATIC,N,No Illumination,TITAN,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8bmfp8cj6gz&style=b&lvl=1&tilt=-90&dir=0&alt=-1000&scene=28298485&phx=0&phy=0&phscl=1&encType=1,27
27-129,133,BLOOR ST E,50 x 20,Convenience address of 650 Church Street,314194.89,4836526.2,Wall,STATIC,N,No Illumination,TITAN,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8bmfp8cj6gz&style=b&lvl=1&tilt=-90&dir=0&alt=-1000&scene=28298485&phx=0&phy=0&phscl=1&encType=1,27
27-023,133,BLOOR ST E,10 x 20,Convenience address of 650 Church Street,314201.18,4836541.32,Ground,TRIVISION,N,Up,TITAN,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8bmfp8cj6gz&style=b&lvl=1&tilt=-90&dir=0&alt=-1000&scene=28298485&phx=0&phy=0&phscl=1&encType=1,27
27-023,133,BLOOR ST E,10 x 20,Convenience address of 650 Church Street,314201.18,4836541.32,Ground,TRIVISION,S,Up,TITAN,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8bmfp8cj6gz&style=b&lvl=1&tilt=-90&dir=0&alt=-1000&scene=28298485&phx=0&phy=0&phscl=1&encType=1,27
27-024,133,BLOOR ST E,10 x 20,Convenience address of 650 Church Street,314179.09,4836546.08,Ground,TRIVISION,E,Up,TITAN,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8bmfp8cj6gz&style=b&lvl=1&tilt=-90&dir=0&alt=-1000&scene=28298485&phx=0&phy=0&phscl=1&encType=1,27
27-024,133,BLOOR ST E,10 x 20,Convenience address of 650 Church Street,314179.09,4836546.08,Ground,TRIVISION,W,Up,TITAN,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8bmfp8cj6gz&style=b&lvl=1&tilt=-90&dir=0&alt=-1000&scene=28298485&phx=0&phy=0&phscl=1&encType=1,27
27-025,466,SHERBOURNE ST,10 x 20,unknown,314907.63,4836057.24,Wall,STATIC,N,Up,CBS,2113,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r89yjq8cjwnf&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28298198&phx=0&phy=0&phscl=1&encType=1,27
27-026,552,CHURCH ST,16 m x 6 m,unknown,314369.09,4835331.27,Wall,STATIC,S,Up,CBS,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r89wbp8cjdcc&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28298187&phx=0&phy=0&phscl=1&encType=1,27
27-027,984,BAY ST,20 x 35,unknown,313839.81,4835917.67,Wall,STATIC,N,No Illumination,TITAN,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r89qpy8chxg7&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28298487&phx=0&phy=0&phscl=1&encType=1,27
27-028,1000,BAY ST,10 x 23,unknown,313828.43,4835959.26,Ground,STATIC,N,Down,CBS,5811,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r89sx38chxfq&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28298487&phx=0&phy=0&phscl=1&encType=1,27
27-028,1000,BAY ST,10 x 23,unknown,313828.43,4835959.26,Ground,STATIC,S,Down,CBS,5810,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r89sx38chxfq&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28298487&phx=0&phy=0&phscl=1&encType=1,27
27-029,990,BAY ST,10 x 40,unknown,313822.3,4835971.55,Wall,STATIC,N,No Illumination,1721437 ONTARIO LTD.,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r89rjg8chx99&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28298487&phx=0&phy=0&phscl=1&encType=1,27
27-030,134,CARLTON ST,12 x 16,unknown,314836.29,4835677.91,Wall,TRIVISION,W,Down,ASTRAL,369,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r89dv08cjv8r&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299234&phx=0&phy=0&phscl=1&encType=1,27
27-031,2,CARLTON ST,98 m²,unknown,314242.73,4835523.59,Wall,STATIC,S,No Illumination,MEGAPOSTER,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8964j8cj84t&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299645&phx=0&phy=0&phscl=1&encType=1,27
27-148,2,CARLTON ST,98 m²,unknown,314242.73,4835523.59,Wall,STATIC,W,No Illumination,MEGAPOSTER,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8964j8cj84t&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299645&phx=0&phy=0&phscl=1&encType=1,27
27-032,378,YONGE ST,20 x 60,unknown,314283.43,4835221.91,Roof,STATIC,E,Backlit,PATTISON,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88w3m8cj9jx&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28298701&phx=0&phy=0&phscl=1&encType=1,27
27-032,378,YONGE ST,20 x 60,unknown,314283.43,4835221.91,Roof,STATIC,N,Backlit,PATTISON,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88w3m8cj9jx&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299647&phx=0&phy=0&phscl=1&encType=1,27
27-035,43,GERRARD ST W,10 x 20,unknown,314097.15,4835158.47,Ground,STATIC,E,Up,CBS,1810,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88rtt8cj4y8&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28298703&phx=0&phy=0&phscl=1&encType=1,27
27-035,43,GERRARD ST W,10 x 20,unknown,314097.15,4835158.47,Ground,STATIC,W,Up,CBS,1811,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88rtt8cj4y8&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299236&phx=0&phy=0&phscl=1&encType=1,27
27-036,33,GERRARD ST W,10 x 20,unknown,314265.02,4835245.86,Wall,TRIVISION,W,Up,ASTRAL,374,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88sm48cj62f&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299019&phx=0&phy=0&phscl=1&encType=1,27
27-037,43,GERRARD ST W,10 x 20,unknown,314104.63,4835178.18,Ground,STATIC,N,Up,CBS,2995,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88rtt8cj4y8&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299236&phx=0&phy=0&phscl=1&encType=1,27
27-038,43,GERRARD ST W,10 x 20,unknown,314104.63,4835178.18,Ground,STATIC,S,Up,CBS,5949,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88rtt8cj4y8&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299236&phx=0&phy=0&phscl=1&encType=1,27
27-039,10,ST MARY ST,10 x 40,unknown,313969.57,4836250.09,Wall,STATIC,N,No Illumination,TITAN,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8b5ht8cj0s2&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28298517&phx=0&phy=0&phscl=1&encType=1,27
27-040,599,YONGE ST,10 x 20,unknown,314103.79,4835974.24,Roof,STATIC,NW,Up,ASTRAL,217,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r89z228cj4d0&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28298517&phx=0&phy=0&phscl=1&encType=1,27
27-040,599,YONGE ST,10 x 20,unknown,314103.79,4835974.24,Roof,STATIC,SW,Up,ASTRAL,216,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r89xwv8cj3vr&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28298513&phx=0&phy=0&phscl=1&encType=1,27
27-041,9,GRENVILLE ST,10 x 20,unknown,314149.36,4835537.33,Ground,STATIC,E,Down,PATTISON,0239A,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r898gr8cj5rz&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299111&phx=0&phy=0&phscl=1&encType=1,27
27-041,9,GRENVILLE ST,10 x 20,unknown,314149.36,4835537.33,Ground,STATIC,W,Down,PATTISON,0239B,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r898gr8cj5rz&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299221&phx=0&phy=0&phscl=1&encType=1,27
27-042,480,YONGE ST,10 x 20,unknown,314157.23,4835614.33,Wall,STATIC,S,Down,PATTISON,2314A,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r89c8z8cj6nh&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28298698&phx=0&phy=0&phscl=1&encType=1,27
27-043,412,CHURCH ST,10 x 20,unknown,314530.39,4835428.33,Ground,STATIC,S,Up,PATTISON,5018A,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r894838cjk3z&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299237&phx=0&phy=0&phscl=1&encType=1,27
27-043,412,CHURCH ST,10 x 20,unknown,314530.39,4835428.33,Ground,STATIC,N,Up,PATTISON,5018B,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r893tw8cjjzp&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299114&phx=0&phy=0&phscl=1&encType=1,27
27-044,373,CHURCH ST,20 x 20,unknown,314561.79,4835470.91,Wall,STATIC,S,No Illumination,CBS,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r895wz8cjkr4&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299237&phx=0&phy=0&phscl=1&encType=1,27
27-045,80,CARLTON ST,5 m x 8 m,unknown,314579.25,4835583.33,Wall,STATIC,W,No Illumination,TITAN,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r896d68cjkcw&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28298570&phx=0&phy=0&phscl=1&encType=1,27
27-046,411,CHURCH ST,10 x 20,unknown,314528.57,4835636.33,Ground,STATIC,N,Up,CBS,3525,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r89bsq8cjjmw&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28298570&phx=0&phy=0&phscl=1&encType=1,27
27-046,411,CHURCH ST,10 x 20,unknown,314528.57,4835636.33,Ground,STATIC,N,Up,CBS,3526,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r89bsq8cjjmw&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28298570&phx=0&phy=0&phscl=1&encType=1,27
27-047,385,CHURCH ST,40 x 60,unknown,314572.79,4835502.74,Wall,STATIC,N,No Illumination,TITAN,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r896c08cjjyy&style=b&lvl=1&tilt=-90&dir=0&alt=-1000&scene=28298570&phx=0&phy=0&phscl=1&encType=1,27
27-048,481,CHURCH ST,unknown,unknown,314441.87,4835878.83,Wall,STATIC,S,No Illumination,TITAN,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r89r838cjg4r&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299027&phx=0&phy=0&phscl=1&encType=1,27
27-049,562,CHURCH ST,10 x 20,unknown,314363.79,4836007.83,Roof,STATIC,NE,Up,CBS,1848,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r89w628cjd1c&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28298488&phx=0&phy=0&phscl=1&encType=1,27
27-050,562,CHURCH ST,10 x 20,unknown,314363.79,4836007.83,Roof,STATIC,NE,Up,CBS,1849,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r89w7f8cjd1q&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28298488&phx=0&phy=0&phscl=1&encType=1,27
27-051,572A,CHURCH ST,2.25 m² x 4 sides,unknown,314357.01,4836033.83,Pedestal,STATIC,unknown,Backlit,PATTISON,316201-4,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r89zrg8cjcz0&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28298187&phx=0&phy=0&phscl=1&encType=1,27
27-052,562,CHURCH ST,10 x 40,unknown,314363.79,4836007.83,Wall,STATIC,N,No Illumination,ASTRAL,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r89z9x8cjd7q&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28298187&phx=0&phy=0&phscl=1&encType=1,27
27-053,284,JARVIS ST,10 x 20,unknown,314772.46,4835417.74,Ground,STATIC,N,Up,CBS,4062,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8936h8cjsgr&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28298551&phx=0&phy=0&phscl=1&encType=1,27
27-054,88,QUEEN ST E,2.25 m² x 4 sides,unknown,314913.73,4834634.83,Pedestal,STATIC,unknown,Backlit,PATTISON,319521-4,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r880j08cjxsp&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28300032&phx=0&phy=0&phscl=1&encType=1,27
27-055,30,MUTUAL ST,12 x 16,This sign faces Shuter Street,314842.83,4834785.1,Ground,STATIC,E,Up,PATTISON,0280B,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r880gn8cjwvc&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28298787&phx=0&phy=0&phscl=1&encType=1,27
27-055,30,MUTUAL ST,12 x 16,This sign faces Shuter Street,314842.83,4834785.1,Ground,STATIC,W,Up,PATTISON,0280A,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r880gn8cjwvc&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28298787&phx=0&phy=0&phscl=1&encType=1,27
27-056,30,MUTUAL ST,2.25 m² x 4 sides,unknown,314910.67,4834632.24,Pedestal,STATIC,unknown,Backlit,PATTISON,319481-4,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r87zyw8cjtyj&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28298798&phx=0&phy=0&phscl=1&encType=1,27
27-058,100,EDWARD ST,2.25 m² x 4 sides,unknown,314071.32,4834941.86,Pedestal,STATIC,unknown,Backlit,PATTISON,317146-9,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88dz08cj2vq&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299240&phx=0&phy=0&phscl=1&encType=1,27
27-059,100,EDWARD ST,10 x 20,unknown,314047.37,4834935.58,Ground,STATIC,W,Up,CBS,3769,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88fdn8cj35x&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299110&phx=0&phy=0&phscl=1&encType=1,27
27-059,100,EDWARD ST,10 x 20,unknown,314047.37,4834935.58,Ground,STATIC,E,Up,CBS,3770,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88fdh8cj363&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28298701&phx=0&phy=0&phscl=1&encType=1,27
27-060,70,EDWARD ST,2.25 m² x 4 sides,unknown,314082.78,4834943.35,Pedestal,STATIC,unknown,Backlit,PATTISON,317142-5,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88g8z8cj4px&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28298701&phx=0&phy=0&phscl=1&encType=1,27
27-061,70,EDWARD ST,10 x 20,unknown,314102.66,4834953.88,Ground,STATIC,W,Up,CBS,3767,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88g8z8cj4px&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28298701&phx=0&phy=0&phscl=1&encType=1,27
27-061,70,EDWARD ST,10 x 20,unknown,314102.66,4834953.88,Ground,STATIC,E,Up,CBS,3768,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88g4h8cj53d&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299110&phx=0&phy=0&phscl=1&encType=1,27
27-062,70,EDWARD ST,2.25 m² x 4 sides,unknown,314094.67,483494.24,Pedestal,STATIC,unknown,Backlit,PATTISON,315651-4,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88g5g8cj5hd&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299110&phx=0&phy=0&phscl=1&encType=1,27
27-063,237,VICTORIA ST,10 x 20,unknown,314561.06,4834855.5,Ground,STATIC,N,Up,PATTISON,0052A,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r889g38cjk3n&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299649&phx=0&phy=0&phscl=1&encType=1,27
27-063,237,VICTORIA ST,10 x 20,unknown,314561.06,4834855.5,Ground,STATIC,S,Up,PATTISON,0052B,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8898v8cjjyq&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299242&phx=0&phy=0&phscl=1&encType=1,27
27-064,130,JARVIS ST,10 x 25,unknown,314981.26,4834677.65,Ground,STATIC,S,Backlit,CBS,8569,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r882py8cjzdw&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299180&phx=0&phy=0&phscl=1&encType=1,27
27-065,124,JARVIS ST,10 x 20,unknown,314981.26,4834677.65,Wall,TRIVISION,N,Up,PATTISON,0363ABC,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r883jk8cjz7y&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299180&phx=0&phy=0&phscl=1&encType=1,27
27-066,90,SHUTER ST,6 m x 8 m,unknown,314938.73,4834836.33,Wall,STATIC,N,No Illumination,TITAN,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r887r08cjxsw&style=b&lvl=1&tilt=-90&dir=0&alt=-1000&scene=28299687&phx=0&phy=0&phscl=1&encType=1,27
27-067,80,DUNDAS ST E,Appro x . 100 m²,unknown,314669.73,4834983.5,Wall,STATIC,N,No Illumination,TITAN,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88hcx8cjps0&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299649&phx=0&phy=0&phscl=1&encType=1,27
27-068,254,CHURCH ST,10 x 23,unknown,314676.12,4834919.41,Ground,TRIVISION,N,Up,PATTISON,0097ABC,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88f0c8cjqjx&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299241&phx=0&phy=0&phscl=1&encType=1,27
27-069,260,CHURCH ST,30 x 30,unknown,314690.67,483494.5,Wall,STATIC,S,No Illumination,TITAN,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88d868cjqdn&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299649&phx=0&phy=0&phscl=1&encType=1,27
27-070,60,SHUTER ST,10 x 20,unknown,314161.19,4834814.87,Ground,STATIC,S,Up,PATTISON,0099A,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8893v8cjs9m&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28300990&phx=0&phy=0&phscl=1&encType=1,27
27-071,60,SHUTER ST,10 x 20,unknown,314776.14,4834821.33,Ground,STATIC,W,Up,PATTISON,0102A,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r887k08cjt3f&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28298787&phx=0&phy=0&phscl=1&encType=1,27
27-071,60,SHUTER ST,10 x 20,unknown,314776.14,4834821.33,Ground,STATIC,E,Up,PATTISON,0102B,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r888dh8cjsh4&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28298799&phx=0&phy=0&phscl=1&encType=1,27
27-072,279,YONGE ST,57.55 m²,unknown,314451.94,4834885.39,Roof,STATIC,N,Up,TITAN,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88c968cjfvv&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299649&phx=0&phy=0&phscl=1&encType=1,27
27-073,279,YONGE ST,57.55 m²,unknown,314439.07,4834881.99,Roof,STATIC,N,Backlit,TITAN,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88bfp8cjfyt&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299649&phx=0&phy=0&phscl=1&encType=1,27
27-074,279,YONGE ST,81 m²,unknown,3144431.1,4834855.83,Roof,VDB,N,Backlit,TITAN,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r889g78cjfsp&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299242&phx=0&phy=0&phscl=1&encType=1,27
27-075,279,YONGE ST,unknown,unknown,314425.77,4834873.83,Roof,STATIC,NE,No Illumination,TITAN,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r889g78cjfsp&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299242&phx=0&phy=0&phscl=1&encType=1,27
27-076,279,YONGE ST,86.55 m²,unknown,314422.03,4834873.83,Roof,STATIC,W,No Illumination,TITAN,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r889g78cjfsp&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299242&phx=0&phy=0&phscl=1&encType=1,27
27-077,279,YONGE ST,31 m²,unknown,314425.43,4834864.32,Roof,TRIVISION,W,Up,TITAN,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r889g78cjfsp&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299242&phx=0&phy=0&phscl=1&encType=1,27
27-080,38,DUNDAS ST E,10 x 20,unknown,314546.67,4834932.83,Ground,STATIC,E,No Illumination,CBS,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88fj88cjk8s&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28298789&phx=0&phy=0&phscl=1&encType=1,27
27-084,1,DUNDAS ST W,unknown,unknown,314441.82,4834910.24,Roof,READOGRAPH,E,Backlit,TORONTO EATON CENTRE,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88c2v8cjdr5&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299242&phx=0&phy=0&phscl=1&encType=1,27
27-084,1,DUNDAS ST W,unknown,unknown,314441.82,4834910.24,Roof,STATIC,E,Up,TORONTO EATON CENTRE,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88cfx8cjd7k&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299242&phx=0&phy=0&phscl=1&encType=1,27
27-084,1,DUNDAS ST W,unknown,unknown,314441.82,4834910.24,Roof,STATIC,E,Up,TORONTO EATON CENTRE,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88cfx8cjd7k&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299242&phx=0&phy=0&phscl=1&encType=1,27
27-084,1,DUNDAS ST W,unknown,unknown,314441.82,4834910.24,Roof,STATIC,E,Up,TORONTO EATON CENTRE,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88cfx8cjd7k&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299242&phx=0&phy=0&phscl=1&encType=1,27
27-084,1,DUNDAS ST W,unknown,unknown,314441.82,4834910.24,Roof,VDB,E,Backlit,TORONTO EATON CENTRE,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88cfx8cjd7k&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299242&phx=0&phy=0&phscl=1&encType=1,27
27-085,302,YONGE ST,unknown,unknown,314369.39,4834936.24,Roof,STATIC,S,Up,CLEAR CHANNEL,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88gts8cjbcg&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299242&phx=0&phy=0&phscl=1&encType=1,27
27-085,302,YONGE ST,unknown,unknown,314369.39,4834936.24,Roof,STATIC,S,Up,CLEAR CHANNEL,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88gts8cjbcg&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299242&phx=0&phy=0&phscl=1&encType=1,27
27-085,302,YONGE ST,unknown,unknown,314369.39,4834936.24,Roof,STATIC,S,Up,CLEAR CHANNEL,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88gts8cjbcg&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299242&phx=0&phy=0&phscl=1&encType=1,27
27-085,302,YONGE ST,unknown,unknown,314369.39,4834936.24,Roof,STATIC,S,No Illumination,CLEAR CHANNEL,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88gts8cjbcg&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299242&phx=0&phy=0&phscl=1&encType=1,27
27-085,302,YONGE ST,unknown,unknown,314369.39,4834936.24,Roof,VDB,S,Backlit,CLEAR CHANNEL,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88gts8cjbcg&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299242&phx=0&phy=0&phscl=1&encType=1,27
27-085,302,YONGE ST,unknown,unknown,314369.39,4834936.24,Roof,STATIC,S,Up,CLEAR CHANNEL,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88gct8cj9rf&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28298702&phx=0&phy=0&phscl=1&encType=1,27
27-086,322,YONGE ST,73.51 m²,unknown,314340.84,4835018.33,Roof,LED,S,Up,PATTISON,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r88mn78cjckg&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28299117&phx=0&phy=0&phscl=1&encType=1,27
